Donor,privatemoney
Treatment and Rehabilitation Centre,no
Treatment and Rehabilitation Centre ,no
Triangle,no
Triangle Génération Humanitaire,no
Tribal Reforms and Development Organization,no
Trickle  Up Program,no
Trilogy InterNational Partners,private
Trinidad & Tobago Red Cross,no
Trinidad and Tobago,no
Trinidad and Tobago Red Cross Society,no
Trinidad and Tobago Red Cross Society,no
Tripartite Core Group,no
Trocaire,no
Tromso Center for Mine Damages,no
Tromsø Mineskadesenter/Tromsoe Mine Victim Resource Center,no
Trosgnistans Mission,no
Trust & Legacies,private
Trust Fund for Human Security,no
Tsunami Evaluation Coalition,no
Tufts University,no
Tulane University,no
Tunisia,no
Tunisia Red Cross,no
Tunisian Red Crescent,no
Turkey,no
Turkey Red Crescent,no
Turkish Kidney Foundation,no
Turkish Red Crescent Society,no
Turkmenistan,no
Tuvalu,no
Tzu Chi Foundation ,private
U.N. Mission in the Central African Republic and Chad (MINURCAT),no
U.S. Committee for Refugees and Immigrants,no
UBS,private
UCODEP__298,no
Uganda,no
Uganda Red Cross,no
Uganda Red Cross Society,no
UK for UNHCR,no
Ukraine,no
Ukraine Red Cross,no
Ukrainian Red Cross Society,no
Ulsan Metropolitan City,no
UN Action Against Sexual Violence in Conflict,no
UN Agencies (details not yet provided) ,no
UN Agencies and NGOs (details not yet provided),no
UN Agencies and Red Cross (details not yet provided),no
UN Agencies and Red Cross (details not yet provided) ,no
"UN Agencies, NGOs and Red Cross (details not yet provided)",no
"UN Agencies, NGOs and/or Red Cross (details not yet provided)",no
UN Assistance Programme to Afghanistan,no
UN Central Fund for Influenza Action,no
UN Committee on Missing Persons,no
UN Delivering AS ONE,no
UN Economic Commission for Latin America,no
Un Enfant Par La Main,no
UN Foundation,private
UN GENERAL TRUST FUND,no
UN Human Security Trust Fund,no
UN Institute,no
UN Mine Action Program,no
UN Mission in Sierra Leone,no
UN Peacebuilding Fund,no
Un Ponte Per ,no
UN Programme on HIV/AIDS,no
UN Resident Coordinator's Office,no
UN Spouses Bazaar,no
UN Stabilization and Recovery - DRC,no
UN Technical Cooperative Activities,no
Un Techo Para Mi Pais,no
UN Trust Fund,no
UN Voluntary Fund for Indigenous Populations,no
UN Voluntary Trust Fund for Technical Cooperation,no
UN Women's Guild,no
Unallocated Pledges,no
UNAMSIL/UNDP,no
UNAVEM/MONUA,no
UNCO / UNOCHA,no
Underwriters Laboratories,private
UNDG Iraq Trust Fund,no
UNDP Administered Trust Fund,no
UNDP for UNDSS,no
UNDP TRAC 1.1.3,no
UNDP/BCPR (TRAC 3),no
UNDP/IOM,no
UNDP/PAPP,no
UNDP/Skills Consortium,no
UNDP/UNCHS,no
UNDP/UNDMTP,no
UNDP/UNDSS,no
UNDP/UN-HABITAT,no
UNDP/UNHCR,no
UNDP/UNICEF,no
UN-EUE,no
UNFPA / UNIFEM,no
UNFPA/UNAIDS,no
UNFPA/WFP,no
UNICEF National Committee/Andorra,private
UNICEF National Committee/Australia,private
UNICEF National Committee/Austria,private
UNICEF National Committee/Belgium,private
UNICEF National Committee/Canada,private
UNICEF National Committee/Czech Republic,private
UNICEF National Committee/Denmark,private
UNICEF National Committee/Estonia,private
UNICEF National Committee/Finland,private
UNICEF National Committee/France,private
UNICEF National Committee/Germany,private
UNICEF National Committee/Hellenic,private
UNICEF National Committee/Hong Kong,private
UNICEF National Committee/Hungary,private
UNICEF National Committee/Iceland,private
UNICEF National Committee/Indonesia,no
UNICEF National Committee/Ireland,private
UNICEF National Committee/Israel,no
UNICEF National Committee/Italy,private
UNICEF National Committee/Japan,private
UNICEF National Committee/Korea (Republic of),private
UNICEF National Committee/Latvia,private
UNICEF National Committee/Lithuania,private
UNICEF National Committee/Luxembourg,private
UNICEF National Committee/Netherlands,private
UNICEF National Committee/New Zealand,private
UNICEF National Committee/Norway,private
UNICEF National Committee/Oman,private
UNICEF National Committee/Poland,private
UNICEF National Committee/Portugal,private
UNICEF National Committee/San Marino,no
UNICEF National Committee/Slovakia,private
UNICEF National Committee/Slovenia,private
UNICEF National Committee/Spain,private
UNICEF National Committee/Sweden,private
UNICEF National Committee/Switzerland,private
UNICEF National Committee/Turkey,private
UNICEF National Committee/United Kingdom,private
UNICEF National Committee/USA (US Fund for UNICEF),private
UNICEF National Committees,private
UNICEF/FALU,no
UNICEF/FAO,no
UNICEF/UNDSS,no
UNICEF/UNFPA/WHO,no
UNICEF/UNHCR,no
UNICEF/UNMAS,no
UNICEF/WFP,no
UNICEF/WFP/UNDP/FAO/WHO,no
UNICEF/WHO,no
Unilever,private
Union Bank Foundation,private
Union Des Organisations Syrienne de Secours Medicaux,no
Union Nationale des Associations Diocesaines de Secours et Developpement,no
Union of Agricultural Work Committees,no
Union of Health Work Committees,no
Union of Relief Organizations – Lebanon,private
Union of South American Nations,no
Union of Sudan African Parties,no
Uniqlo,private
Unité de Recherche et d'Action Médico Légale,no
UNITEC,no
United Arab Emirates,no
United Arab Emirates Red Crescent,no
United Church of Canada,no
United Islamic Center,no
United Kingdom,no
United Kingdom ,no
"United Kingdom - Dept. for InterNational Development - Conflict, Humanitarian and Security Department",no
United Kingdom Department for InterNational Development,no
United Kingdom Ministry of Defence,no
United Kingdom Red Cross ,no
United Methodist Church,private
United Methodist Committee on Relief,no
United Missions Mission in Liberia Irish Battalion,no
United Nations,no
United Nations Advance Mission in Sudan,no
United Nations Angola Verification Mission,no
United Nations assessed contributions,no
United Nations Assistance Mission for Afghanistan,no
United Nations Assistance Mission in East Timor,no
United Nations Assistance Mission in Iraq,no
United Nations Association in Canada,no
United Nations Children's Fund,no
United Nations Committee on Missing Persons,no
United Nations Corps of Guards in Iraq,no
United Nations Department of Peace-Keeping Operations,no
United Nations Dept of Safety and Security ,no
United Nations Development Fund for Women,no
United Nations Development Group Office,no
United Nations Development Programme,no
United Nations Development Programme - East Timor,no
"United Nations Development Programme / Rehabilitation, Reconstruction and Development Programme",no
United Nations Disaster Assessment and Coordination,no
United Nations Disaster Management Team,no
United Nations Disengagement Observer Force,no
United Nations Economic and Social Commission for Asia and the Pacific,no
"United Nations Educational, Scientific and Cultural Organization",no
United Nations Entity for Gender Equality and the Empowerment of Women,no
United Nations Environment Programme,no
United Nations Foundation,no
United Nations Fund for InterNational Partnerships,no
United Nations High Commissioner for Refugees,no
United Nations Human Settlements Programme (UN-HABITAT),no
United Nations Humanitarian Air Service,no
United Nations Humanitarian Information Centre,no
United Nations Humanitarian Response Depot ,no
United Nations Industrial Development Organization,no
United Nations Institute for Disarmament Research,no
United Nations Institute for Training and Research,no
United Nations Integrated Office in Sierra Leone ,no
United Nations InterNational Drug Control Programme,no
United Nations InterNational Research and Training Institute for the Advance of Women,no
United Nations Joint Logistics Centre,no
United Nations Joint Programme on HIV/AIDS,no
United Nations Mediation Support Unit,no
United Nations Mine Action Coordination Center (DRC),no
United Nations Mine Action Coordination Center (DRC),no
United Nations Mine Action Service,no
United Nations Mission in Ethiopia and Eritrea,no
United Nations Mission in Kosovo,no
United Nations Mission in Sudan,no
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",no
United Nations Mission in Timor-Leste,no
United Nations Mission of Support in East Timor,no
United Nations Observer Mission in Georgia,no
United Nations Office for Disarmament Affairs,no
United Nations Office for Project Services,no
United Nations Office in Burundi,no
United Nations Office of Legal Affairs,no
United Nations Office on Drugs and Crime,no
United Nations Operation Programme Support,no
United Nations Operational Satellite Applications Programme,no
United Nations Peacekeeping Force in Cyprus,no
United Nations Political Office for Somalia,no
United Nations Population Fund,no
United Nations Register of Damage,no
United Nations Relief and Works Agency for Palestine Refugees in the Near East,no
United Nations Special Court for Sierra Leone,no
United Nations Transitional Authority in East Timor,no
United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,no
United Nations Voluntary Trust Fund on Mine Action,no
United Nations Volunteers Programme,no
United Peace Organization,no
United Rural Development Organization,private
United States Agency for InterNational Development,no
United States Catholic Conference,no
United States Department of Agriculture,no
United States Department of Defense,no
United States Department of Health and Human Services,no
United States Department of State,no
United States of America,no
United States Office for Foreign Disaster Assistance,no
United Technologies Corporation,private
United Way InterNational,no
United Way of Massachusetts Bay and Merrimack Valley ,no
United Way of Miami-Dade,no
UnitedHealth,private
Unity and Cooperation for the Development of People,no
Unity and Cooperation for the Development of Peoples,no
Universal Intervention and Development Organization,private
Universal Network for Knowledge and Empowerment Agency,private
Universidad de Chile,no
Universidad de Las Villas,no
"Universidad Nacional a Distancia, Costa Rica",no
Universidad Nacional Autonoma de Honduras,no
Universitetet i Oslo,no
University of Capetown,no
University of Colorado,no
University of Geneva,no
University of Miami,no
University of Nebraska,no
University of Neuchâtel,no
University of Oxford - Refugee Studies Centre,no
University of Rhode Island/SUCCESS LWA,no
UniverSud-Liège,no
Univision,private
UNMAS/UNDP,no
UNOCHA / UNDP,no
UNO-Flüchtlingshilfe e.V.,no
UNOPS/CDAP,no
UNRWA Friends Association Inc. USA,no
UNRWA Spanish Committee,no
Unspecified,no
Unum,private
UNVTF/Mine Action,no
Upper Nile Initiative and Development Organization,no
Upper Nile Kalaazar Eradication Association,no
UPR Info,no
UPS Foundation,private
Urgence Rehabilitation et Developpement,no
Uruguay ,no
Uruguay Red Cross,no
Uruguayan Red Cross,no
US Airways,private
US Bancorp,private
US Embassy,no
US Forest Service,no
US Fund for UNICEF,private
US Geological Survey,no
USA for UNHCR,private
USA Friends of WFP,private
USA Friends Private,no
USA Fund for UNICEF,private
USAID Mission,no
USAID Recipient,no
USAID/ANE,no
USAID/Angola,no
USAID/Bangladesh,no
USAID/Conakry,no
USAID/Disaster Assistance Response Team,no
USAID/DRC,no
USAID/Ethiopia,no
USAID/Guinea,no
USAID/Haiti,no
USAID/Indonesia,no
USAID/Jamaica,no
USAID/Kenya,no
USAID/Khartoum,no
USAID/Liberia,no
USAID/Lilongwe,no
USAID/Madagascar,no
USAID/Malawi,no
USAID/Nepal,no
USAID/OTI,no
USAID/Regional Economic Development Services Office            ,no
USAID/Russia,no
USAID/Senegal,no
USAID/Somalia,no
USAID/South Africa,no
USAID/Sri Lanka,no
USAID/Uganda,no
USAID/West African Regional Programme,no
USAID/Zimbabwe,no
USAID’s Pastoralist Livelihoods Initiative,no
USAR,private
US-China Business Council,private
Uzbekistan,no
Uzbekistan (Government of),no
Uzbekistan (Government of),no
VAF - Verein für Afghanistan Förderung ,no
Valero Energy/Ultramar,private
Valid Nutrition,no
Vamos Adelante,no
Vans,private
Vanuatu Red Cross,no
Vanuatu Red Cross Society,no
Various (details not yet provided),no
Various (details not yet provided),no
Various Donors ,no
Various Donors (details not yet provided),no
Various Donors (private),no
Various Recipients (details not yet provided),no
Vårt land,private
VAS,no
VEH,no
VEH/HAD,no
Venable LLP,private
Venezuela,no
Venezuela Red Cross,no
Venezuelan Red Cross,no
Vento di Terra,no
Verdens Barn,no
Verein Bär und Leu,private
Verein f. hum. Hilfe Vaduz,no
Verein für Aufbauhilfe Tambanevana,private
Verein Hilfe fur Bangladesch,no
Verein Lichtblick ,no
Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V,no
Vereniging voor Personele Samenwerking Ontwikkelings-landen,no
Verizon Foundation,private
VETAID,no
Vétérinaire sans Frontieres,no
Vétérinaires sans Frontières (Belgium),no
Vétérinaires sans Frontières (Germany),no
Vétérinaires sans Frontières (Switzerland),no
Vetworks Eastern Africa,private
VIC,no
VICINI and the INICIA Foundation,private
Victims of Torture,no
Vie Sacree,no
Viet Nam,no
Viet Nam Red Cross,no
Village Elders Group,no
Visa,private
VISION,no
Vision Hope,private
Vision Hope International,no
Visions in Action,no
VITALITE PLUS,no
Vitamin Shoppe,private
VITOL,private
"Vitoria-Gasteiz, Municipality of (Spain)",no
Viva Rio,no
Vivamos Mejor,no
Vive Zene,no
Vodafone Group Foundation,private
VOICE ASBL,no
Voice of America,no
Voila Earthquake Relief Fund,private
Volens,no
Volontariato Internazionale per lo Sviluppo,no
Voluntariado Internacional para o Desenvolvimento Africano,no
Voluntary Health Association of India,no
Voluntary Organisations in Cooperation in Emergencies,private
Voluntary Service Overseas,no
Volunteer Corpes-Greek Firemen Replanters,no
Volunteer Organization for the InterNational Co-operation,no
VREDESEILANDEN,no
VsF (CH) / PACE,no
W.K. Kellogg Foundation,private
Waatasemu Charity Association,no
Wabi Shelbelle Development,no
Wadi,no
Wahdat Rehabilitation and Development Organization for Afghan Women,no
Wajir South Development Association,no
Wajir South Development Association ,no
Wakefern Food Corp. (ShopRite and PriceRite stores,private
Walgreens,private
Wal-Mart,private
Walmart Canada,private
Walmart Foundation,private
Walt Disney Corporation,private
Waltraud Torossian-Brigasky,no
WAM,no
Wamo Relief and Rehabilitation Services,no
Waqf Alghanem and Othman mosques,private
War Child ,no
War Child Canada,no
War Child Holland,no
War Child UK,no
War Torn Societies,no
Wardi Relief and Development Initiatives,no
Watan’s Social Technical Services Association,no
Water and Sanitation Consortium,no
Water for Life,no
Water Missions InterNational,no
WA-UK,no
Wawa Inc.,private
WB/UNDP,no
We Effect,no
Webster Bank,private
WEF - World Editors Forum,private
WEFA HUMANITARIAN RELIEF ORGANIZATION,no
Wegman Family Charitable Foundation,private
"Weil, Gotshal & Manges LLP",private
Welfare Association,no
"WellPoint, Inc.",private
Wells Fargo & CO,private
Wereld-missiehulp,private
Werkgroep Nederland Srebrenica,no
Western Union Foundation,private
WEUDAM - WEU De-mining Assistance Mission,private
Weyerhaeuser,private
WFP Administered Trust Fund,no
WFP and NGO Partners,no
WFP Immediate Response Account,no
WFP/SHA,no
White Helmets Commission,no
WHO/AFRO,no
WHO/OCHA,no
WHO/UNFPA,no
William and Flora Hewlett Foundation,private
William Gallagher Associates,private
WilmerHale,private
Wilton Park,no
Windle Trust,no
Windle Trust International,no
Windy InterNational Youth Foundation,private
Winn-Dixie Foundation,private
Winston & Strawn LLP,private
WISAG,private
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan ,no
Woman Kind Kenya,no
Women and Children Child Care Organization,no
Women And Health Alliance,private
Women for Women InterNational,no
Women Organization for Development & Capacity Building,private
Women Welfare Organization Poonch,no
Women's Promotion and Human Development,no
World Agency of Planetary Monitoring and Earthquake Risk Reduction,no
World Agroforestry Centre,no
World Assembly of Muslim Youth,private
WORLD ASSEMBLY OF MUSLIMS YOUTH,no
World Association of Children's Friends,no
World Association of Newspapers and News Publishers,private
World Bank,no
World Bank Group,no
World Care,no
World Church Relief Service,no
World Coalition Against the Death Penalty,private
World Concern,no
World Concern Development Organisation,no
World Conference on Disaster Reduction,no
World Conference on Religions for Peace,no
World Congress Against the Death Penalty,no
World Education,no
World Food Programme,no
World Health Organization,no
World Hope InterNational,no
World Humanitarian Forum,no
World Islamic Economic Forum Foundation,private
World Jewish Aid,no
WORLD LUTERAN FEDERATION - COLOMBIA,private
World Meteorological Organization,no
World Mission Society Church of God,private
World Organisation Against Torture,no
World Pharmacists,private
World Rehabilitation Fund,private
World Relief,no
World Research Foundation,private
World Society for the Protection of Animals,no
World University Service,no
World University Service - Canada,no
World Vision  Netherlands,no
World Vision Angola,no
World Vision Australia,no
World Vision Canada,no
World Vision El Salvador,no
World Vision Germany,no
World Vision Hong Kong,no
World Vision InterNational,no
World Vision Ireland,no
World Vision Kenya,no
World Vision Korea,no
World Vision Pakistan,no
World Vision Philippines,no
World Vision Relief and Development  Inc.,no
World Vision Relief and Development  Inc.,no
World Vision South Sudan,no
World Vision Sri Lanka,no
World Vision Sudan,no
World Vision Support Offices,no
World Vision Taiwan,no
World Vision Uganda,no
World Vision UK,no
World Vision USA,no
World Vision Viet Nam,no
World Vision Zimbabwe,no
World Wildlife Fund,no
WorldFish,no
WPD,no
WRC - World Relief Corporation ,no
WSP InterNational,no
WTB InterNational Development,private
Xcel Energy Foundation ,private
Xstrata AG,private
YAKKUM Emergency Unit,no
Yasska Foundation,private
Yayasan Ananda Marga Indonesia,no
Yayasan Dian Desa,no
Yayasan HOPE Indonesia,no
Yele Haiti Foundation ,private
Yemen,no
Yemen Family Care Association,private
Yemen Red Crescent Society,no
Yemen Women Union,no
YMCA,no
YME Foundation,private
Young Africans Development Action,private
Young Welfare Society,no
Young Women's Christian Association/La Strada,private
Youth Activity Organization,no
Youth Alliance in Karamoja,no
Youth Development and Voluntary Work Association,no
Yum Brands Inc,private
ZACF,private
ZAF,no
Zafar Cooperation Organization,no
Zambia,no
Zambia Red Cross Society,no
Zamzam Foundation,no
Zanfha Initiative,private
ZAWD - Organization for Humanitarian and Development,no
ZAYED Foundation,private
ZIF - Center for InterNational Peace Operations,no
Zimbabwe,no
Zimbabwe Red Cross,no
ZOA Refugee Care,no
"Zodiac of North America, Inc.",private
"Zodiac of North America, Inc.",private
Zukunft f. Kinder,no
A.I.M.E! International e.V. (Deutschland),no
ACT Alliance / Lutheran World Federation Nepal,no
Action Chretienne pour combattre la pauvretre et l'analphabetisme,no
Afghanistan Center for Training and Development,no
Africa Development Corps,no
Africa Solidarity Trust Fund,no
African Rainbow Minerals,private
Agence Humanitaire Africaine,private
Airlink,private
Alber Charity Society,no
Aliko Dangote's Foundation,private
Alliance for International Medical Action,private
Asal Rural Development Organization,no
Asociación Salvadoreña de Ayuda Humanitaria,no
Association de Lutte Contre le Sida,private
"Association for Forests, Development and Conservation",no
Association Locale pour le Développement Intégral,no
"Association pour la Solidarité, le Développement et l'Intégration Sociale",no
Associazione Italiana per la Solidarietà tra I Popoli,no
Asylum Access,no
Atlas Alliance,no
Basic Awareness Rehabilitation & Networking,private
BBC Media Action,no
Bent-e-Hawa Peace and Development Organization,no
Bilateral (affected government),no
Buddhistforbundet,no
CAIPA,no
Cairo Institute for Human Rights Studies,no
Cameroon Red Cross Society,no
Canadian Imperial Bank of Commerce,private
CARE Luxembourg,no
CARGOMA,private
Center for Applied Linguistics,no
Center for Women’s Legal Research and Consulting,no
Centers for Disease Control,no
Centers for Disease Control Foundation,no
Centre de Support en Santé Internationale,no
Centro de Estudios y Prevencion de Desastres,no
"Cera Products, Inc",private
Child Rights Connect,no
Cigna Foundation,private
Civic Coalition for Palestinian Rights in Jerusalem,no
Coca-Cola Foundation,private
Community Development Organization,no
Community Media Network,no
Cooperative Housing Foundation International,no
Coordination Of Rehabilitation Services For Afghanistan,no
Crisis Action,no
Danish Mission Council Development,no
dawa Islamic organization,no
Demos Institute,no
Direct Relief,no
Disaster Prevention and Preparedness Commission Ethiopia,no
Ebola Response Multi-Partner Trust Fund,no
EcoBank,private
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,no
Emergency ONG,no
EuropeAid,no
European Commission's Humanitarian Aid and Civil Protection Department,no
FilmAid,no
Fondation Mérieux,private
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,private
Framtiden i våre hender,no
France Terre d’Asile,no
Friends of UNFPA,no
Frontier Primary Health Care,no
Fundación Acción Contra el Hambre,no
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",no
Fundación Halü Bienestar Humano,no
German Doctors e.V.,no
German Toilet Organization e.V.,no
GHESKIO Centers,private
Global Aid Hand,no
Global Giving,no
Global Network for Disaster Reduction,no
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",no
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,no
Help Syria through the Winter Foundation,private
Hidig Relief And Development Organization,no
"IHH-Humanitarian Relief Foundation, Turkey",no
InformAction,no
Innovative Humanitarian Solutions,no
Institut Européen de Coopération et de Développement,no
International Law and Policy Institute,no
International Procurement Agency,private
International Renaissance Foundation,private
irshad and islah society lebanon,no
Islamic Center Society,no
John Dau Foundation,no
John Hopkins Center for Communication Programs,no
Jordan Engineering Association,private
Just Peace Initiatives,no
Khazanah Nasional,no
La Asociación Minga,no
Larry Page's Family Foundation,private
Lead Development Agency,no
Lebanese Association for Development Al Majmoua,private
Lebanese Institute for Democracy and Human Rights,no
Legatum Foundation,private
Liberia Petroleum Company,private
Light for the World,no
Lutherian World Fund,no
Madrasati Initiative,private
Makassed Philanthropic Islamic Association of Beirut,no
Masar,no
Médecins d'Afrique,no
Medical Teams International,no
Merck,private
Mercury International,private
Millennium Promise Japan,no
Mouvement non violent syrien,no
National Federation of UNESCO Association in Japan,no
National Oil Company of Liberia,private
NCA+partners,private
NetHope,no
NGO Coordination Committee for Iraq,no
Noon Charity Organization,no
Norwegian Medical Association,private
Nyein (Shalom) Foundation,private
Open Society Foundations,private
"Organization for Refuge, Asylum and Migration",no
Palestinian Farmers Association,no
Palestinian Hydrology Group,no
Paul G. Allen,private
Peace Bridge Association,no
Philippine Jesuit Foundation,private
Plan Liberia,no
Poverty Eradication Initiative,private
Prime Foundation,private
Programa de Reducción del Riesgo de Desastres,no
Protecting Through Education,no
Public Health Initiative Liberia,private
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,no
Reach Vulnerable,no
Rebuild and Relief International NGO gGmbH,private
Refugee Consortium of Kenya,no
Relief Pakistan,no
René Moawad Foundation,no
Robert Wood Johnson Foundation,private
Rural Development Initiative Pakistan,no
Rural Initiatives in Sustainability and Empowerment,no
SADEL,private
SAFDF,no
Sawa Organization,no
SEEMA Center for Training and Protection of Women and Child's Rights,no
Seplat Petroleum Development Company Plc,private
Shafaq Rehabilitation Organization (SHA),no
SHASSMEPPE,no
Sibro Organization for Development,no
Sierra Minerals Holdings/Vimetco,private
Social Services Program,no
Société Anglogold Ashanti de Guinée,private
Society for Human Emancipation and Development,private
Solo Enviro Beautification,no
Soryiat,no
Start Fund,no
Stiftelsen Litteraturhuset,private
Support for Peace and Education Development Program,no
Syria Sanad,no
Taghyeer,private
Taiwan ICDF,no
The Competitiveness,no
The Equal Rights Trust,private
The Foundation for the Refugee Education Trust,no
Tides Center,no
Tompran Foundation,private
Tony Elumelu Foundation,private
UN Mission for Ebola Emergency Response,no
UN TF for Int'l Coop&Dev,no
Union des Organisations Syrienne de Secours Médicaux,no
United Israel Appeal,private
United Nations Department of Safety and Security,no
Universal Rights Group,no
Urgence Solidarité Syrie,no
VENRO,no
Vet-Care Organization,no
Virgin Unite,private
Vitalité Plus,no
VNG International,private
VOLVO,private
Wakachiai Project,no
WELLCOME TRUST,private
Women Empowerment Organization,no
Women's Education Partnership,no
Women's Evangelical Association of Bossangoa,no
Women's Refugee Commission,no
World Council of Churches,private
World Neighbors,private
World Relief Corporation,no
Yemen Medical Charitable Society,no
Youth Resource Centre,no
ZOA,no
ABAAD-Resource Center for Gender Equality,no
Abdel Mohsen Qattan Foundation,private
Abs Development for Women and Children,no
Action for Development,no
Action for Peace and Sustainable Development,no
action medeor e.V.,no
Advocates Coalition for Rights and Development,no
Afghanistankomiteen i Norge,no
Agency for Assistance and Development of Afghanistan,no
Agricultural Development Association,no
Akkar Network for Development,no
Asociacion Ben por la Infancia,no
Asociación de Trabajadores y Tecnicos Sin Fronteras,no
Asociación ONGD Cives Mundi,no
ASSABIL,no
Associate in Community Development,no
Association Agropastorale de NDA,no
Association Centrafricaine pour le Développement Economique et Social,no
Association des Cadres Musulmans de Centrafrique,no
Association des Femmes pour la Promotion de l'Entreprenariat,no
Association for Integrated Rural Development,no
Association HIMAYA,no
Association LRC,no
Association Medina,no
Associazione Internazionale Volontari Laici,no
Atlasalliansen,no
Basmeh and Zeitooneh - Lebanese Association,no
Brigadas Internacionales de Paz,no
Care for Children and Old Age in South Sudan,no
Caribbean Disaster Emergency Management Agency,no
Caritas Chad,no
Centre Libanais des Droits Humains,no
Centro de Estudios Rurales y de Agricultura Internacional,no
Christian Children's Fund of Canada,no
Community Development Association,no
Community in Need Aid,no
Development Fund,no
DIGNI,no
Dominica Red Cross Society,no
Duhok Organization for Volunteer Youth,no
EducAid Onlus,no
Education Health Social Awareness and Rehabilitation,no
Estonian Refugee Council,no
European Meeting Centre - Nowy Staw Foundation,private
Evangelisches Werk für Diakonie und Entwicklung e.V.,no
Famine Early Warning Sytem,no
Fangak Community Development Initiative,no
Fashoda Youth Forum,no
Foyer des Jeunes de Morne l'Hopital,no
Friends of Children Society,no
Friendship Luxembourg,no
"FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALD Y LA SOLIDARIDAD INTERNACIONAL",no
Fundación Ojos del Mundo,private
Fundación Plan,no
GFZ German Research Centre,no
Global Family,no
Health Equity Initiatives Sdn Bhd,no
Heifer International,no
Hujra Village Support Organization,no
Humanitarian Quality Assurance Initiative,no
IHRA,no
Impact Health Organization,no
"Institute for Development, Research, Advocacy and Applied Care",no
Interchurch Medical Assistance World Health,no
International Eurasia Press Fund,no
IsraAID,no
Japan Campaign for children of Palestine,no
Japan International Volunteer Center,no
Japan Platform,no
Joint Aid Management International,no
Jordanian National Commission for Women,no
Kachin Baptist Convention,no
Khwendo Kor,no
Labena Organization for Women Development Aid Capacity Building,no
MADAD FUND,no
Makhzoumi Foundation,no
Manos Unidas,no
Mena Organization for Services Advocacy integration and Capacity Building,no
Ministry of Education and Higher Education,no
Monastery Saint James the Mutilated,no
Myanmar Health Assistant Association,no
Myanmar Heart Development Organization,no
National Demining Units Organization,no
NGO Free Ukraine,no
NGO Ukrainian Cultural Center,no
Norwegian Capacity,no
Nova - Centre per la Innovació Social / NOVACT,no
One Step Further,no
Organization for Research and Community Development,no
Organization for Voluntary Humanitarian Assistance Programme,no
OVERSEAS-Onlus,no
Oxfam Intermon,no
Oxfam/Community Aid Abroad/Intermon/Novib,no
Parlement des Jeunes Rwandais,no
Pearl of Africa Environment,no
People Empowerment & Consulting Enterprise,no
Person in Need Relief Mission,no
Professionals in Humanitarian Assistance and Protection,no
Real Medicine Foundation,private
Rebuild Iraq Recruitment Program,no
Reform Society,no
Rehabilitation Education And Community Health,no
Relief and Humanitarian Aid Organisation in Dar al Fatwa,no
Rural Community Action for Peace and Development,no
Rural Development Initiative South Sudan,no
Save Youth Future Society,no
Secretariado Diocesano de Pastoral Social,no
Society for Human and Environmental Development,no
Somalia Resilience Program,no
Standard Alliance,no
Sudanese Organization for Rehabilitation and Construction,no
Support Agency for Rural and Human Association’s Development,no
Support to Life,no
Sustainable Development and Peace Building Initiatives,no
Tahaddi & Apprentis d'Auteuils,no
Tajik Aid,no
The National Institution of Social Care and Vocational Training,no
Triyog Trust NZ,no
Turath Organization for Human Development,no
U.S. Forest Service,no
UN Department of Economic and Social Affairs,no
UN Women,no
United Nations Global Pulse,no
United Nations Voluntary Fund for Trafficking in Person,no
Vetwork Services Trust,no
Wethaq Foundation for Civil Orientation,no
Women Now for Development,no
World Vision Vanuatu,no
Yemeni Social Reform Society,no
Young Men’s Christian Association,no
ABAAD-Resource Center for Gender Equality,no
Abs Development for Women and Children,no
Action for Development,no
Advocates Coalition for Rights and Development,no
Agency for Assistance and Development of Afghanistan,no
Agricultural Development Association,no
Akkar Network for Development,no
Allocation of unearmarked funds by UN Women,no
ASSABIL,no
Associate in Community Development,no
Association Centrafricaine pour le Développement Economique et Social,no
Association des Cadres Musulmans de Centrafrique,no
Association des Femmes pour la Promotion de l'Entreprenariat,no
Association for Integrated Rural Development,no
Association HIMAYA,no
Association LRC,no
ASYA SAR - KYM,no
Basmeh and Zeitooneh - Lebanese Association,no
Centre Libanais des Droits Humains,no
Chad,no
Community Development Association,no
Community in Need Aid,no
ECHO DFID contribution,no
EducAid Onlus,no
Education Health Social Awareness and Rehabilitation,no
Fangak Community Development Initiative,no
Fashoda Youth Forum,no
Friends of Children Society,no
Global Family,no
IDeA Foundation,private
Joint Aid Management International,no
Kachin Baptist Convention,no
Khwendo Kor,no
Labena Organization for Women Development Aid Capacity Building,no
Livelihoods and Food Security Trust Fund,no
Makhzoumi Foundation,no
Mena Organization for Services Advocacy integration and Capacity Building,no
Monastery Saint James the Mutilated,no
Myanmar Health Assistant Association,no
National Demining Units Organization,no
Organization for Research and Community Development,no
Organization for Voluntary Humanitarian Assistance Programme,no
